Date/Time,Address,Location,Call Type,Description,Incident Number,Duration
3/31/15 2:25,100 BLK 14 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00020629,0:20:58
3/30/15 0:27,2900 BLK BLUESTEM DR,West Fargo,Loud Party/People,LOUD PARTY,2015-00004866,0:22:42
3/29/15 3:45,800 BLK COUNTRYSIDE TRAILER CT S,Fargo,Loud Party/People,LOUD PARTY,2015-00020167,0:17:27
3/29/15 1:51,900 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY,,0:10:54
3/29/15 1:40,1700 BLK 49 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00020142,0:40:02
3/28/15 23:58,1200 BLK 15 AVE N,Moorhead,Loud Party/People,LOUD PARTY,2015-00008284,0:26:35
3/28/15 22:47,49 ST S,Fargo,Loud Party/People,LOUD PARTY,2015-00020080,0:28:34
3/28/15 22:26,4400 BLK 31 AVE S,Fargo,Loud Party/People,LOUD PEOPLE,2015-00020088,1:10:35
3/28/15 21:22,38 AVE S,Fargo,Loud Party/People,MINORS DRINKING IN ST,2015-00020069,1:39:48
3/28/15 2:42,400 BLK 30 AVE N,Fargo,Loud Party/People,LOUD PEOPLE,2015-00019906,0:13:15
3/28/15 2:28,700 BLK 10 AVE N,Fargo,Loud Party/People,LOUD PARTY,2015-00019905,0:33:08
3/28/15 2:20,1600 BLK 33 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00019900,0:39:44
3/28/15 0:21,100 BLK PLEASANTVIEW AVE SW,Glyndon,Loud Party/People,LOUD PARTY,Multiple incidents,0:11:25
3/27/15 23:03,1500 BLK 6 AVE S,Moorhead,Loud Party/People,LOUD PARTY,2015-00008165,0:11:47
3/27/15 22:22,1100 BLK UNIVERSITY DR N,Fargo,Loud Party/People,LOUD PARTY,2015-00019819,1:01:48
3/27/15 1:15,600 BLK 33 AVE W,West Fargo,Loud Party/People,LOUD PPL,2015-00004651,0:24:29
3/27/15 0:57,4400 BLK 47 ST S,Fargo,Loud Party/People,LOUD PARTY/MUSIC,2015-00019630,2:13:38
3/26/15 0:29,800 BLK 10 ST N,Fargo,Loud Party/People,LOUD PARTY,2015-00019381,0:31:15
3/26/15 0:25,1400 BLK 16 ST S,Fargo,Loud Party/People,LOUD MUSIC/PPL,,0:05:28
3/25/15 17:06,2600 BLK 14 ST S,Fargo,Loud Party/People,LOUD MUSIC/PPL,2015-00019289,1:02:33
3/24/15 21:08,1500 BLK EAST GATEWAY CIR S,Fargo,Loud Party/People,DOMESTIC,2015-00019120,0:26:46
3/22/15 6:43,3500 BLK 30 AVE S,Fargo,Loud Party/People,LOUD PARTY,2015-00018524,4:17:18
3/22/15 4:06,3400 BLK 14 AVE S,Fargo,Loud Party/People,LOUD PPL,2015-00018513,0:20:02
3/22/15 3:07,3400 BLK 14 AVE S,Fargo,Loud Party/People,LOUD PARTY,,0:31:08
3/22/15 2:20,400 BLK 7 AVE S,Fargo,Loud Party/People,LOUD PPL,2015-00018506,0:53:49
