"Address","Number","Lon","Lat"
"1200 11 1/2 ST N FARGO, ND",15,-96.79604,46.8903814
"1900 DAKOTA DR N FARGO, ND",11,-96.811669,46.888186
"4900 47 ST S FARGO, ND",11,-96.8666352,46.8061888
"1100 19 ST N FARGO, ND",10,-96.8107359,46.8886458
"1700 40 ST S FARGO, ND",10,-96.8470166,46.8549521
"3600 42 ST S FARGO, ND",10,-96.8511047,46.8228817
"800 34 AVE E WEST FARGO, ND",10,-96.9139549,46.8293954
"1000 UNIVERSITY DR N FARGO, ND",9,-96.7981662,46.8868843
"5000 AMBER VALLEY PKWY S FARGO, ND",9,-96.8718446,46.8419875
"1000 12 ST N FARGO, ND",8,-96.7968256,46.8867847
"1400 12 ST N FARGO, ND",8,-96.7966711,46.8952391
"1800 39 ST S FARGO, ND",8,-96.8440736,46.8520585
"2600 14 ST S FARGO, ND",8,-96.80088,46.8414886
"400 4 ST N FARGO, ND",8,-96.7846686,46.8800995
"4200 9 AVENUE CIR S FARGO, ND",8,-96.8542065,46.8667678
"100 2 ST S FARGO, ND",7,-96.7812383,46.872711
"1000 16 ST N FARGO, ND",7,-96.8062016,46.8868319
"1500 11 ST N FARGO, ND",7,-96.7951194,46.8976108
"2500 15 ST S FARGO, ND",7,-96.8037033,46.8434176
"2500 VILLA DR S FARGO, ND",7,-96.8220727,46.8590313
"2800 7 ST W WEST FARGO, ND",7,-96.9129316,46.8377408
"0 ROBERTS ST N FARGO, ND",6,-96.7901832,46.8760404
"1300 12 ST N FARGO, ND",6,-96.7967005,46.8928044
"2500 14 ST S FARGO, ND",6,-96.8014837,46.8434397
"2600 PACIFIC DR S FARGO, ND",6,-96.8080067,46.8398249
"3000 7 ST W WEST FARGO, ND",6,-96.9129474,46.8354634
"4900 44 AVE S FARGO, ND",6,-96.869323,46.81391
"100 PRAIRIEWOOD DR S FARGO, ND",5,-96.826872,46.848775
"1000 32 AVE W WEST FARGO, ND",5,-96.9160218,46.9202407
"1000 9 AVE N FARGO, ND",5,-96.7939107,46.8858552
"11 ST N FARGO, ND",5,-96.7953638,46.8885603
"1100 18 ST N FARGO, ND",5,-96.8092251,46.8886387
"1100 COLLEGE ST N FARGO, ND",5,-96.7989055,46.8884345
"1400 35 ST S FARGO, ND",5,-96.8379093,46.85974
"1400 DAKOTA DR N FARGO, ND",5,-96.8027816,46.8847025
"1700 49 ST S FARGO, ND",5,-96.8688558,46.8546404
"2100 9 AVE S FARGO, ND",5,-96.8139105,46.8657429
"3300 31 AVE S FARGO, ND",5,-96.8330137,46.8349382
"5100 AMBER VALLEY PKWY S FARGO, ND",5,-96.8736858,46.8420429
"600 COUNTRYSIDE TRAILER CT S FARGO, ND",5,-96.8182343,46.8687472
"900 17 ST N FARGO, ND",5,-96.8077296,46.8866727
"900 UNIVERSITY DR N FARGO, ND",5,-96.7981812,46.8859249
"0 8 ST N FARGO, ND",4,-96.7909481,46.8750494
"100 ROBERTS ST N FARGO, ND",4,-96.7898924,46.8769464
